n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
9500,1.711000,2.643000,0.660000,0.380000,0.243000,0.174000,0.176000,0.205000,0.744000,0.442000,0.272000,0.189000,0.210000,0.173000
1000,0.018000,0.020000,0.036000,0.017000,0.022000,0.010000,0.007000,0.010000,0.021000,0.028000,0.017000,0.008000,0.010000,0.013000
10000,2.013000,2.888000,0.729000,0.402000,0.271000,0.197000,0.205000,0.230000,0.802000,0.442000,0.294000,0.217000,0.222000,0.219000
1500,0.043000,0.042000,0.030000,0.018000,0.018000,0.015000,0.014000,0.018000,0.033000,0.021000,0.022000,0.029000,0.012000,0.017000
2000,0.075000,0.078000,0.044000,0.028000,0.026000,0.022000,0.021000,0.022000,0.043000,0.029000,0.044000,0.021000,0.018000,0.024000
2500,0.117000,0.124000,0.076000,0.039000,0.035000,0.028000,0.058000,0.033000,0.081000,0.039000,0.037000,0.031000,0.034000,0.037000
3000,0.170000,0.179000,0.103000,0.083000,0.039000,0.077000,0.060000,0.060000,0.078000,0.064000,0.107000,0.038000,0.061000,0.036000
3500,0.229000,0.250000,0.099000,0.103000,0.052000,0.078000,0.077000,0.054000,0.105000,0.062000,0.051000,0.045000,0.046000,0.043000
4000,0.300000,0.343000,0.124000,0.131000,0.071000,0.055000,0.083000,0.071000,0.132000,0.074000,0.058000,0.058000,0.094000,0.059000
4500,0.380000,0.448000,0.152000,0.091000,0.080000,0.069000,0.062000,0.065000,0.165000,0.130000,0.099000,0.058000,0.076000,0.099000
500,0.005000,0.005000,0.004000,0.005000,0.004000,0.006000,0.003000,0.007000,0.008000,0.006000,0.004000,0.004000,0.004000,0.006000
5000,0.468000,0.578000,0.188000,0.156000,0.098000,0.070000,0.101000,0.102000,0.200000,0.113000,0.163000,0.085000,0.103000,0.071000
5500,0.574000,0.709000,0.230000,0.195000,0.113000,0.135000,0.133000,0.084000,0.297000,0.137000,0.178000,0.082000,0.121000,0.086000
6000,0.681000,0.905000,0.288000,0.167000,0.125000,0.139000,0.078000,0.128000,0.297000,0.167000,0.093000,0.128000,0.093000,0.118000
6500,0.797000,1.053000,0.324000,0.190000,0.159000,0.102000,0.093000,0.176000,0.353000,0.199000,0.150000,0.141000,0.109000,0.126000
7000,0.925000,1.270000,0.378000,0.216000,0.174000,0.168000,0.136000,0.201000,0.400000,0.226000,0.185000,0.127000,0.119000,0.132000
7500,1.104000,1.484000,0.429000,0.247000,0.199000,0.113000,0.143000,0.200000,0.461000,0.257000,0.191000,0.152000,0.162000,0.143000
8000,1.219000,1.764000,0.484000,0.256000,0.199000,0.123000,0.144000,0.177000,0.523000,0.293000,0.176000,0.156000,0.148000,0.179000
8500,1.367000,1.940000,0.540000,0.309000,0.240000,0.159000,0.161000,0.251000,0.579000,0.324000,0.198000,0.180000,0.160000,0.182000
